FeatureName,DepositName,SiteName,Region,NGR,East,North,SiteLocation,RelationToNearestSummit,LandscapeZone,ApproxHeight ASL (m),CountrysideCharacterArea2012,LocationType,RelationToLocalSites,SiteDescription,DiameterRoundSites,SiteType,FeatureType,FeatureOrientation,FeatureDimensions,FeatureLength(cm),FeatureWidth(cm),FeatureDepth(cm),FeatureLocation,LocationRelToCentre,FeatureDescription,AssociatedFeatures,TreatmentOfRemains,MaterialsInDeposit,ArrangementOfDeposit,HeadSideFace,MNIWithinDeposit,SexOfIndsWithin Deposit,AgeOfIndsWithinDeposit,OtherSkeletalInformation,AccessionTWAMHumanRemains,BoneAnalysisUsed,ArtefactsInDepositList,ArtefactDescriptions,VesselType,RefinedTypologies,VesselIllustrations,OtherFindIllustrations,DatingOfDeposit,DatingOfHumanRemains,EstimatedDateRange(Fowler2012),PrimaryReferences,DecadeOfExcavation,OtherNotes,Excavator,UsedforFowler2013?,UsedforRitualChanges Analysis?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirkhill pit A,Kirkhill pit A cremation deposit,Kirkhill cremation cemetery,Northumberland,NT975007,397500,600700,"Low spur of Wreighill Pike, c. 150m ASL. Spring within 1km",South West,Low hill at edge of river valley in upland,170m,Northumberland Sandstone Hills,Hillside with river view,Among cemetery,Cemetery disturbed by medieval cemetery and chapel,No mound recorded,Possible cemetery,Pit,N-S,".71m by .59m wide, .63m deep, with a flat base",71,59,63,6m SSE of pit B,N/a,Pit with steep sides and flat bottom,"One of at least two, and possibly many such pits",Multiple cremation,"The fill of the pit was described as ""a mixture of natural subsoil and brown earth showing every indication of extensive burning"". Some earth was found with the cremated bone, but there is no mention of charcoal and the earth is described as ""sterile""","The bones and flints were found within the urn, placed inverted on the stone slab at the bottom of the pit. The bones did not spill out of the vessel at all, and the excavators suggest an organic cover to the urn. : vessel used to contain the intermixed remains of at least 4 individuals, bone cleaned or charcoal before placement in urn",N/a,4,Indet.,"Adult (3), Child c.8-9 or 13-14 years old (1)","Some of the adult bone fragments exhibited green staining, but traces were negative for copper or tin. One tibia and one phalanx are described as distorted, possibly due to rickets ",N,Excavation report,"Collared Urn, 2 calcined flint fragments","Very angular turns to waist, collar and rim, area between waist and collar is decroated with loose single line herring bone pattern, collar is decorated with twisted cord basket-weave pattern, inner rim with chevrons. Cavetto zone beneath collar. Longworth primary series",Collared Urn,"Collared Urn, Gibson no. 138",Y,Y,3242+-90 BP (1620-1420 cal BC at 2 sigma) from charcoal within deposit [SSR-133],N,1600-1500 BC,"Miket, R. 1974. Excavation at Kirkhill, West Hepple, 1972. Archaeologia Aeliana (5th Series) 2, 153-87.",1970s,"There were definitely other mortuary deposits found in the area in the 19th centry, including cists and cremation deposits with vessels, but precise details were not recorded",R Miket,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirkhill pit B,Kirkhill pit B cremation deposit,Kirkhill cremation cemetery,Northumberland,NT975007,397500,600700,"Low spur of Wreighill Pike, c. 150m ASL. Spring within 1km",South West,Low hill at edge of river valley in upland,170m,Northumberland Sandstone Hills,Hillside with river view,Among cemetery,Cemetery disturbed by medieval cemetery and chapel,No mound recorded,Possible cemetery,Pit,?,"1.2m max (truncated by chapel feature), .63m deep, with a flat base",120,120,63,6m NNW of pit B,N/a,Pit with fairly steep sides and flat bottom,"One of at least two, and possibly many such pits",Uncremated remains?,Burnt fill of subsoil and brown earth only,Not described,?,No bone recovered,N/a,N/a,N/a,N/a,N/a,None,N/a,N/a,N/a,N/a,N/a,N,N/a,?,"Miket, R. 1974. Excavation at Kirkhill, West Hepple, 1972. Archaeologia Aeliana (5th Series) 2, 153-87.",1970s,"There were definitely other mortuary deposits found in the area in the 19th centry, including cists and cremation deposits with vessels, but precise details were not recorded",R Miket,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirkhill pit C,Kirkhill pit C inhumation,Kirkhill cremation cemetery,Northumberland,NT975007,397500,600700,"Low spur of Wreighill Pike, c. 150m ASL. Spring within 1km",South West,Low hill at edge of river valley in upland,170m,Northumberland Sandstone Hills,Hillside with river view,Among cemetery,Cemetery disturbed by medieval cemetery and chapel,No mound recorded,Possible cemetery,Pit,E-W,"1.68m by .58m wide, 2.29m deep",168,58,229,12m ESE of pit A,N/a,Rectangular grave ,In same area as pits A and B,Crouched burial,Dark brown earth and charcoal flecks,"The body lay on its right side, with head to the W, so face would be facing S. The body is described as ""with knees slightly flexed"". The bronze awl fragment was found near the base of the spine",WRS,1,Not investigated,Not investigated,There is no bone report and correspondance with the excavator suggests that while it was noted that the burial was likely of an adult there was no further investigation of the human remains which are not now available for analysis (pers. comm.),N,Excavation report,Bronze awl fragment,,N/a,?,N/a,?,N,N,?2200-1500?,"Miket, R. 1974. Excavation at Kirkhill, West Hepple, 1972. Archaeologia Aeliana (5th Series) 2, 153-87.",1970s,"There were definitely other mortuary deposits found in the area in the 19th centry, including cists and cremation deposits with vessels, but precise details were not recorded",R Miket,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyloe cist,Kyloe cist ,Kyloe Quarry,Northumberland,NU0440,404000,640000,Probably on low northern spur of Ewe Hill,North,Low hills,85m?,Northumberland Sandstone Hills,Hillside near to stream,Isolated,"Cist, oriented N-S, wihtin pit cut into subsoil",No mound recorded,Solo cist,Cist,N-S,".72m N-S by .43m wide, by .41m deep",72,43,41,Not recorded,N/a,"Cist oriented North-South, in pit, four side slabs and roof slab made from whinstone. No base slab. Found during whinstone quarrying.",None ,Uncremated remains?,Charcoal present,Not recorded,?,No bone recovered,N/a,N/a,None,N/a,N/a,"Bowl Food Vessel, jet beads: four space plates, two riangular terminal plates, c. 50 barrel-shaped beads ","Bowl Food Vessel, fragmented, only half present/collected. Beads from a jet necklace: four space plates, two triangular terminal plates, c. 50 barrel-shaped beads. ","Bowl Food Vessel, spacer plate necklace. Both vessel and necklace are now present only in partial form","Tripartite Bowl Food Vessel, Gibson no. 76",Y (photo),Y (photo),N/a,N/a,2200-1950 BC,"Brewis, P. 1928. A Bronze Age Cist at Kyloe, Northumberland.  Archaeologia Aeliana (4th Series) 5, 26-29 & Spain, G. 1928. Curator’s Report, 1927. Proceedings of the Society of Antiquaries of Newcastle Upon Tyne (4th Series) 3, 145 & Newman, T.G. 1976. The Jet Necklace from Kyloe. Archaeologia Aeliana (5th Series) 4, 177-82.",1920s,,G Leather,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilburn Hill Farm cist 1,Lilburn Hill Farm cist 1,Lilburn Hill Farm,Northumberland,NU020263,402000,626300,Spring within 1km,?,?,125?,Cheviot Fringe,?,Several cists have been found on Lilburn Hill Farm,"Cist, sounds to be placed in pit cut into subsoil, few details provided",No mound recorded,Cemetery of cists and pits,Cist,N-S,2.1m N-S by 1.35m E-W,210,135,?,?,N/a,"Cist, oriented North-South",None,Multiple cremation,Whinstone pebbles,"7 pits within a cist, running down the spine of the cist space. Each was topped with 3 'whinstone' pebbles. Under these were 5 further pits, four of which had the same pebble arrangements. The drawings seem to indicate these 'pits' as upstanding features within the cist and it may be that these were organic containers of some kind lain down and the area around them backfilled. The appearance is of a collective deposition of cremated human remains in a small cist. Interestingly, the only bone taken for analysis was identified as from the foot of a horse",N/a,Unclear - 7 different deposits within 12 small 'pits' ,Not recorded,Taken by excavator to be small or young adult female individuals. One set of teeth is described as worn flat,Seven discrete collections of cremated bones. Described as brittle and falling to pieces upon handling,N,Excavation report,Carved decoration on a stone which was described by the farmer as pyramidal in shape and as found within the SW corner of the cist. ,Stone was fragmented when found,N/a,Not possible,N/a,N/a,N/a,N/a,?2300-1700?,"Moffat, J.G. 1885. Prehistoric Grave from the Lilburn Hill Farm, on the Lilburn Tower Estate. Archaeologia Aeliana (2nd Series) 10, 220-222.",1880s,Recording of details is imprecise but this seems a very unusual deposit. No diagnostic material allowing provision of a date was found.,J Moffatt ,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilburn Hill Farm cist 2 (North Cairnfold Field),Lilburn Hill Farm cist 2 (North Cairnfold Field),"Lilburn Hill Farm, North Cairnfold Field",Northumberland,NU0124,401000,624000,Spring within 1km,?,?,130?,Cheviot Fringe,?,Group of at least 2 cists,"Cist, sounds to be placed in pit cut into subsoil, few details provided",No mound recorded,Cemetery of cists and pits,Cist,?,Not given,?,?,?,Not given,N/a,"Cist, cut into suboil, with no base slab but a ""sandy bottom""",Presumably near to cist 3. Rock carvings are reported on the farm,Unclear,Not given,Not recorded,?,Not recorded,Indet.,Indet.,"""Two cists, both containing bones…""",N,Excavation report,"""trace of iron""?",,N/a,"Clarke has 2 Beakers from these 5 cists, S4 and N2 - Weak Carinated and Short-Necked",N/a,N/a,N/a,N/a,?2300-1950?,"Hardy, J. 1889. Further Discoveries of Prehistoric Graves, Urns, and Other Antiquities, on Lilburn Hill Farm, on the Lilburn Tower Estate. Archaeologia Aeliana (2nd Series) 13, 351-6.",1880s,Cursory record from 1886 quoted in Hardy 1889. The name of the field is suggestive,J Hardy (described),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilburn Hill Farm cist 3 (North Cairnfold Field),Lilburn Hill Farm cist 3 (North Cairnfold Field),"Lilburn Hill Farm, North Cairnfold Field",Northumberland,NU0124,401000,624000,Spring within 1km,?,?,130?,Cheviot Fringe,?,Group of at least 2 cists,"Cist, sounds to be placed in pit cut into subsoil, few details provided",No mound recorded,Cemetery of cists and pits,Cist,?,Not given,?,?,?,Not given,N/a,"Cist, cut into suboil, with no base slab but a ""sandy bottom""",Presumably near to cist 2. Rock carvings are reported on the farm,Unclear,Not given,Not recorded,?,Not recorded,Indet.,Indet.,"""Two cists, both containing bones…""",N,Excavation report,None recorded,N/a,N/a,"Clarke has 2 Beakers from these 5 cists, S4 and N2 - Weak Carinated and Short-Necked",N/a,N/a,N/a,N/a,?2300-1950?,"Hardy, J. 1889. Further Discoveries of Prehistoric Graves, Urns, and Other Antiquities, on Lilburn Hill Farm, on the Lilburn Tower Estate. Archaeologia Aeliana (2nd Series) 13, 351-6.",1880s,Cursory record from 1886 quoted in Hardy 1889. The name of the field is suggestive,J Hardy (described),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilburn Hill Farm cist 4 (East Cairnfold Field),Lilburn Hill Farm cist 4 (East Cairnfold Field),"Lilburn Hill Farm, East Cairnfold Field",Northumberland,NU0225,402000,625000,?,?,?,108?,Cheviot Fringe,?,Group of at least 3 cists,"Cist, sounds to be placed in pit cut into subsoil, few details provided",No mound recorded,Cemetery of cists and pits,Cist,?,Not given ,?,?,?,Not given,N/a,Cist,Presumably near to cists 5 and 6. Rock carvings are reported on the farm,Unclear,Not given,Not recorded,?,Not recorded,Indet.,Indet.,"""Three cists were dug up… containing bones and three urns""",N,Excavation report,"Unclear since the record has ""three cists … containing bones and three urns"". All three sound like Beakers, one a minature Beaker with thumbnail impressions",,N/a,"Clarke has 2 Beakers from these 5 cists, S4 and N2 - Weak Carinated and Short-Necked",N/a,N/a,N/a,N/a,?2300-1950?,"Hardy, J. 1889. Further Discoveries of Prehistoric Graves, Urns, and Other Antiquities, on Lilburn Hill Farm, on the Lilburn Tower Estate. Archaeologia Aeliana (2nd Series) 13, 351-6.",1880s,Cursory record from 1886 quoted in Hardy 1889. The name of the field is suggestive,J Hardy (described),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilburn Hill Farm cist 5 (East Cairnfold Field),Lilburn Hill Farm cist 5 (East Cairnfold Field),"Lilburn Hill Farm, East Cairnfold Field",Northumberland,NU0226,402000,625000,Spring within 1km,?,?,108?,Cheviot Fringe,?,Group of at least 3 cists,"Cist, sounds to be placed in pit cut into subsoil, few details provided",No mound recorded,Cemetery of cists and pits,Cist,?,Not given ,?,?,?,Not given,N/a,Cist,Presumably near to cists 4 and 6. Rock carvings are reported on the farm,Unclear,Not given,Not recorded,?,Not recorded,Indet.,Indet.,"""Three cists were dug up… containing bones and three urns""",N,Excavation report,"Unclear since the record has ""three cists … containing bones and three urns"". All three sound like Beakers, one a minature Beaker with thumbnail impressions",,N/a,"Clarke has 2 Beakers from these 5 cists, S4 and N2 - Weak Carinated and Short-Necked",N/a,N/a,N/a,N/a,?2300-1950?,"Hardy, J. 1889. Further Discoveries of Prehistoric Graves, Urns, and Other Antiquities, on Lilburn Hill Farm, on the Lilburn Tower Estate. Archaeologia Aeliana (2nd Series) 13, 351-6.",1880s,Cursory record from 1886 quoted in Hardy 1889. The name of the field is suggestive,J Hardy (described),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilburn Hill Farm cist 6 (East Cairnfold Field),Lilburn Hill Farm cist 6 (East Cairnfold Field),"Lilburn Hill Farm, East Cairnfold Field",Northumberland,NU0226,402000,625000,Spring within 1km,?,?,108?,Cheviot Fringe,?,Group of at least 3 cists,"Cist, sounds to be placed in pit cut into subsoil, few details provided",No mound recorded,Cemetery of cists and pits,Cist,?,Not given ,?,?,?,Not given,N/a,Cist,Presumably near to cists 4 and 5. Rock carvings are reported on the farm,Unclear,Not given,Not recorded,?,Not recorded,Indet.,Indet.,"""Three cists were dug up… containing bones and three urns""",N,Excavation report,"Unclear since the record has ""three cists … containing bones and three urns"". All three sound like Beakers, one a minature Beaker with thumbnail impressions",,N/a,"Clarke has 2 Beakers from these 5 cists, S4 and N2 - Weak Carinated and Short-Necked",N/a,N/a,N/a,N/a,?2300-1950?,"Hardy, J. 1889. Further Discoveries of Prehistoric Graves, Urns, and Other Antiquities, on Lilburn Hill Farm, on the Lilburn Tower Estate. Archaeologia Aeliana (2nd Series) 13, 351-6.",1880s,Cursory record from 1886 quoted in Hardy 1889. The name of the field is suggestive,J Hardy (described),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilburn Hill Farm pit 1,Lilburn Hill Farm pit 1,Lilburn Hill Farm,Northumberland,NU0124,401000,624000,"""lying oblique to a ridge"". Spring within 1km",?,?,130?,Cheviot Fringe,?,Within local group of cists,"Oval or oblong pit, possibly a grave",No mound recorded,Cemetery of cists and pits,"Oval or oblong pit, possibly a grave, with sandstone cover slab",?,"Not given. ""Shallow""",?,?,?,NE of cists 2 and 3,N/a,"Oval or oblong pit, shallow, with a sandstone cover slab","""At a considerable distance"" NE of cists 2 and 3",Unclear whether bones burnt or unburnt,"Sandstone slab cover 1.35m long by .9m wide. Sandy fill at base including some ""black substance"" (probably charcoal?)",Not recorded,?,1 (?),Indet.,Indet.,"""some bones… one a piece of a human elbow joint""",N,Excavation report,None recorded,N/a,N/a,N/a,N/a,N/a,N/a,N/a,?post 2000 BC?,"Hardy, J. 1889. Further Discoveries of Prehistoric Graves, Urns, and Other Antiquities, on Lilburn Hill Farm, on the Lilburn Tower Estate. Archaeologia Aeliana (2nd Series) 13, 351-6.",1880s,"The name of the field is suggestive. Feature discovered by farmer, who gave verbal testimony to Hardy",J Hardy (described),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilburn Hill Farm stonelined pit 1 (Cairnfold Field),Lilburn Hill Farm stonelined pit 1 (Cairnfold Field),Lilburn Hill Farm,Northumberland,NU0124,401000,624000,Spring within 1km,?,?,130?,Cheviot Fringe,?,Within local group of cists,Cemetery of cists and pits,No mound recorded,Cemetery of cists and pits,Stone-lined pit with triangular plan,?,Not given,?,?,?,?,N/a,The pit is described as three-sided with three stone slabs forming its sides. The pit had a sandy bottom,"""not far distant"" to stone-lined pit 2, which was to the SW of this one. Rock carvings are reported on the farm",Cremation,The pit is described as three-sided with three stone slabs forming its sides. The pit had a sandy bottom,Urn was stood upright within the centre of the pit,?,Not recorded,Indet.,Indet.,"""bones and ashes""",N,Excavation report,"Collared Urn, Accessory Vessel ","Small Collared Urn, at 16cm just larger than 15cm Gibson's 'minature' size","Collared Urn, Accessory Vessel","Collared Urn, Gibson no.129; Accessory Vessel",Y (Gibson),N/a,N/a,N/a,2000-1500 BC,"Hardy, J. 1889. Further Discoveries of Prehistoric Graves, Urns, and Other Antiquities, on Lilburn Hill Farm, on the Lilburn Tower Estate. Archaeologia Aeliana (2nd Series) 13, 351-6.",1880s,"Unknown whether the feature was ever covered with a slab or cairn. The name of the field is suggestive. Feature discovered by farmer, who gave verbal testimony to Hardy",J Hardy,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
